------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.1 port 5001 connected with 10.0.2.2 port 45206
[ ID] Interval       Transfer     Bandwidth
[  1] 186.0000-186.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 186.5000-187.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 187.0000-187.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 187.5000-188.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 188.0000-188.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 188.5000-189.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 189.0000-189.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 189.5000-190.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 190.0000-190.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 190.5000-191.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 191.0000-191.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 191.5000-192.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 192.0000-192.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 192.5000-193.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 193.0000-193.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 193.5000-194.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 194.0000-194.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 194.5000-195.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 195.0000-195.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 195.5000-196.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 196.0000-196.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 196.5000-197.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 197.0000-197.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 197.5000-198.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 198.0000-198.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 198.5000-199.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 199.0000-199.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 199.5000-200.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 200.0000-200.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 200.5000-201.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 201.0000-201.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 201.5000-202.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 202.0000-202.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 202.5000-203.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 203.0000-203.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 203.5000-204.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 204.0000-204.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 204.5000-205.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 205.0000-205.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 205.5000-206.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 206.0000-206.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 206.5000-207.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 207.0000-207.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 207.5000-208.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 208.0000-208.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 208.5000-209.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 209.0000-209.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 209.5000-210.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 210.0000-210.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 210.5000-211.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 211.0000-211.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 211.5000-212.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 212.0000-212.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 212.5000-213.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 213.0000-213.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 213.5000-214.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 214.0000-214.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 214.5000-215.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 215.0000-215.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 215.5000-216.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 216.0000-216.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 216.5000-217.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 217.0000-217.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 217.5000-218.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 218.0000-218.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 218.5000-219.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 219.0000-219.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 219.5000-220.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 220.0000-220.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 220.5000-221.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 221.0000-221.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 221.5000-222.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 222.0000-222.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 222.5000-223.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 223.0000-223.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 223.5000-224.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 224.0000-224.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 224.5000-225.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 225.0000-225.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 225.5000-226.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 226.0000-226.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 226.5000-227.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 227.0000-227.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 227.5000-228.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 228.0000-228.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 228.5000-229.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 229.0000-229.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 229.5000-230.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 230.0000-230.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 230.5000-231.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 231.0000-231.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 231.5000-232.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 232.0000-232.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 232.5000-233.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 233.0000-233.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 233.5000-234.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 234.0000-234.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 234.5000-235.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 235.0000-235.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 235.5000-236.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 236.0000-236.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 236.5000-237.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 237.0000-237.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 237.5000-238.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 238.0000-238.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 238.5000-239.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 239.0000-239.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 239.5000-240.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 240.0000-240.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 240.5000-241.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 241.0000-241.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 241.5000-242.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 0.0000-242.0235 sec   275 MBytes  9.54 Mbits/sec
