------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.1 port 5001 connected with 10.0.2.2 port 43960
[ ID] Interval       Transfer     Bandwidth
[  1] 79.0000-79.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 79.5000-80.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 80.0000-80.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 80.5000-81.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 81.0000-81.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 81.5000-82.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 82.0000-82.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 82.5000-83.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 83.0000-83.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 83.5000-84.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 84.0000-84.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 84.5000-85.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 85.0000-85.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 85.5000-86.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 86.0000-86.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 86.5000-87.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 87.0000-87.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 87.5000-88.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 88.0000-88.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 88.5000-89.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 89.0000-89.5000 sec   146 KBytes  2.39 Mbits/sec
[  1] 89.5000-90.0000 sec   488 KBytes  7.99 Mbits/sec
[  1] 90.0000-90.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 90.5000-91.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 91.0000-91.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 91.5000-92.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 92.0000-92.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 92.5000-93.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 93.0000-93.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 93.5000-94.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 94.0000-94.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 94.5000-95.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 95.0000-95.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 95.5000-96.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 96.0000-96.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 96.5000-97.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 97.0000-97.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 97.5000-98.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 98.0000-98.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 98.5000-99.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 99.0000-99.5000 sec   583 KBytes  9.55 Mbits/sec
[  1] 99.5000-100.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 100.0000-100.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 100.5000-101.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 101.0000-101.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 101.5000-102.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 102.0000-102.5000 sec   583 KBytes  9.55 Mbits/sec
[  1] 102.5000-103.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 103.0000-103.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 103.5000-104.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 104.0000-104.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 104.5000-105.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 105.0000-105.5000 sec   583 KBytes  9.55 Mbits/sec
[  1] 105.5000-106.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 106.0000-106.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 106.5000-107.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 107.0000-107.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 107.5000-108.0000 sec   583 KBytes  9.55 Mbits/sec
[  1] 108.0000-108.5000 sec   355 KBytes  5.82 Mbits/sec
[  1] 108.5000-109.0000 sec   287 KBytes  4.70 Mbits/sec
